"license.number","dba.name","aka.name","facility.address","facility.city","facility.zip","risk.category","status","license.code","latitude","longitude","lat","lng"
"1000849","Bravo Food & Liquor","Bravo Food & Liquor","619 W 43RD ST","CHICAGO",60609,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.815981,-87.641677
"1000894","Galileo's","Galileo's","1300 S LAKE SHORE DR","CHICAGO",60605,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8657323122665,-87.6196686373198,NA,-87.6773956
"1000978","J K & S FOOD & LIQUOR","J K & S FOOD & LIQUOR","503 W 59TH ST","CHICAGO",60621,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.7870390747415,-87.6378127281997,NA,NA
"1001133","TUTTO FRESCO","TUTTO FRESCO","3829 N BROADWAY","CHICAGO",60613,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9520913157013,-87.6494857638008,NA,NA
"1008","NINA'S RESTAURANT","NINA'S RESTAURANT","3359 W 79TH ST","CHICAGO",60652,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.749451,-87.707074
"10122","REOLA CHARLESTON","REOLA CHARLESTON","1024 E 93RD ST","CHICAGO",60619,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.726056,-87.5986889
"10125","WHITE HEN PANTRY #0-0-8505-1","WHITE HEN PANTRY #0-0-8505-1","2004 N HALSTED ST","CHICAGO",60614,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.9183795460978,-87.6486643485401,NA,NA
"10139","POPEYE'S CHICKEN RESTAURANT","POPEYE'S CHICKEN RESTAURANT","616 E 103RD ST","CHICAGO",60628,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.7075095655127,-87.6081828188711,NA,NA
"1014","KITTY'S FRIENDLY LOUNGE","KITTY'S FRIENDLY LOUNGE","5709 S WENTWORTH AVE","CHICAGO",60621,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.790626,-87.630106
"10166","THE ARTS CLUB OF CHICAGO","THE ARTS CLUB OF CHICAGO","201 E ONTARIO ST","CHICAGO",60611,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8932535645753,-87.6225942872089,NA,-87.6773956
"10169","CENTER RESTAURANT BAR","CENTER RESTAURANT BAR","3039 W LAWRENCE AVE","CHICAGO",60625,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.9683713966548,-87.7051824813287,NA,NA
"10175","K & H LOUNGE INC","K & H LOUNGE INC","3750-3752 N CENTRAL AVE","CHICAGO",60634,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.9492458595123,-87.7670180131419,NA,NA
"1021579","P0NY EXPRESS RESTAURANT","P0NY EXPRESS RESTAURANT","2000 W 21ST ST","CHICAGO",60608,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8541198324668,-87.6760196708425,NA,NA
"1021782","Starbucks Coffee #2428","Starbucks Coffee #2428","6738 N SHERIDAN RD","CHICAGO",60626,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",42.0047156994786,-87.6610029599069,NA,NA
"1021790","Cafe Nordstrom","Cafe Nordstrom","55 E GRAND AVE","CHICAGO",60611,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8915907410835,-87.6258671372446,NA,NA
"10218","COLONY FOOD & LIQUOR, INC.","COLONY FOOD & LIQUOR, INC.","7555 S RACINE AVE","CHICAGO",60620,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.7562028800473,-87.6537454403711,NA,NA
"10229","CHICKEN INN","CHICKEN INN","7536 N MILWAUKEE AVE","CHICAGO",60631,"Risk 1 (High)","Active","1006-FOOD RETAIL",42.0180788153111,-87.806979467898,NA,NA
"10235","HAI YEN","HAI YEN","1055 W ARGYLE ST","CHICAGO",60640,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9731717656326,-87.6571408311882,NA,-87.6773956
"10240","MOM'S BAKE SHOPPE & RESTAURANT","MOM'S BAKE SHOPPE & RESTAURANT","2415 W PETERSON AVE","CHICAGO",60659,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9903835847724,-87.6903184871278,NA,NA
"10306","FINE FAIR FOOD & LIQUOR","FINE FAIR FOOD & LIQUOR","3357-3359 W 16TH ST","CHICAGO",60623,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8589206858733,-87.7101738892696,NA,NA
"10360","HERB'S GROCERY'S","HERB'S GROCERY'S","3659 W OHIO ST","CHICAGO",60624,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8916364,-87.7184522
"10393","NORTHWESTERN MEMORIAL HOSPITAL (CAFETERIA-2ND)","CAFE 251","251 E HURON ST","CHICAGO",60611,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8949033023554,-87.6207437262396,NA,NA
"10399","TRIANO'S PIZZA","TRIANO'S PIZZA","6758 W ARCHER AVE","CHICAGO",60638,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7922671220746,-87.7915186789166,NA,NA
"10400","MIARA'S CONT'L PASTRY DELI INC","MIARA'S CONT'L PASTRY DELI","7051-7053 W ADDISON ST","CHICAGO",60634,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9452338230796,-87.8029266385397,NA,NA
"1042276","SUBWAY SANDWICH SHOP","SUBWAY","2809 N ASHLAND AVE","CHICAGO",60657,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9327030316339,-87.6682594142039,NA,NA
"1042285","Rio Grande Fruit Market, Inc.","Rio Grande Fruit Market","3501 W NORTH AVE","CHICAGO",60647,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9099107050822,-87.714385510212,NA,-87.6773956
"1042309","BRONZEVILLE'S 1ST BED & BREAKFAST","BRONZEVILLE'S 1ST BED & BREAKFAST","3911 S DR MARTIN LUTHER KING JR DR","CHICAGO",60653,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.823528,-87.6167069
"1042353","FLORIDA FOOD & LIQUOR","FLORIDA FOOD & LIQUOR","4201 W AUGUSTA BLVD","CHICAGO",60651,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8988262686259,-87.731235077862,NA,NA
"1042390","THE DRUM & MONKEY","THE DRUM & MONKEY","1435 W TAYLOR ST","CHICAGO",60607,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8692068665869,-87.6630873696548,NA,NA
"1042399","Lou Malnati's Pizzeria","Lou Malnati's Pizzeria","956-958 W WRIGHTWOOD AVE","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9291199488324,-87.6535918619722,NA,NA
"1042476","SPARACINO RISTORANTE","SPARACINO RISTORANTE","6966 W NORTH AVE","CHICAGO",60707,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.909267,-87.799685
"1042516","HADEEL FOOD MART","HADEEL FOOD MART","308 E PERSHING RD","CHICAGO",60653,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.824012,-87.6187549
"1042539","LA JUNQUENA FOODS & LIQUOR","LA JUNQUENA FOODS & LIQUOR","2501-2503 W NORTH AVE","CHICAGO",60647,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.90998,-87.689942
"1042634","MY HOUSE","MY HOUSE","3304 W FULLERTON AVE","CHICAGO",60647,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",NA,NA,41.9247432,-87.7110718
"1042664","BLOKES & BIRDS","BLOKES & BIRDS","3343 N CLARK ST","CHICAGO",60657,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9428693188284,-87.6528628037723,NA,NA
"1042702","CROSSROADS PUBLIC HOUSE","CROSSROADS PUBLIC HOUSE","2630 N CLARK ST","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9304120095948,-87.6438865291044,NA,NA
"1042792","Popeyes","Popeyes","5050 S CICERO AVE","CHICAGO",60638,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8006425535872,-87.7431134692047,NA,NA
"1042816","101 CONVENIENT INC","101 CONVENIENT INC","101 W 119TH ST","CHICAGO",60628,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.677737,-87.625303
"1042888","DEVON MARKET","DEVON MARKET","1440 W DEVON AVE","CHICAGO",60660,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9982282537665,-87.6671044664687,NA,NA
"1042895","SKYBRIDGE RESTAURANT & BAR","SKYBRIDGE RESTAURANT BAR & GRILL (T2 F7)","11601 W TOUHY AVE","CHICAGO",60666,"Risk 1 (High)","Active","1006-FOOD RETAIL",42.0085364008687,-87.9144284392705,NA,NA
"1042910","VINCE'S PIZZA","VINCE'S PIZZA","6217 W 63RD ST","CHICAGO",60638,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7776453768713,-87.777065958365,NA,NA
"1043","GRAND RIVER","GRAND RIVER","3032 N LINCOLN AVE","CHICAGO",60657,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.936779807699,-87.6648344969278,NA,-87.6773956
"1043008","Rosebud Steakhouse","Rosebud Steakhouse","192 E WALTON ST","CHICAGO",60611,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9001500685174,-87.622146745137,NA,NA
"1043034","7-Plus Food Mart","7-Plus Food Mart","6321 S DR MARTIN LUTHER KING JR DR","CHICAGO",60637,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.7795943,-87.6154631
"1043070","MCDONALDS #12003","MCDONALDS #12003","8871 S KINGSTON AVE","Chicago",60617,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.7337247283515,-87.5642868164071,NA,NA
"1043118","BAISI THAI","BAISI THAI","900 N MICHIGAN AVE","CHICAGO",60611,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8992485970363,-87.6242749782054,NA,NA
"1043148","CARNIVAL GROCERY STORE","CARNIVAL GROCERY STORE","458 W DICKENS AVE","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9202201056737,-87.6412429212164,NA,NA
"1043177","beck's book store inc","beck's book store inc","5500 N ST LOUIS AVE","CHICAGO",60625,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9802119,-87.7187973
"1043344","HEAT","HEAT","1507 N SEDGWICK ST","CHICAGO",60610,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.909541,-87.638199
"1043368","Starbucks Coffee #2445","Starbucks Coffee","1052-1070 W BRYN MAWR AVE","CHICAGO",60660,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.9837803795335,-87.657310954085,NA,-87.6773956
"1043422","EL RINCON NORTENO INC","EL RINCON NORTENO INC","3300 W 55TH ST","CHICAGO",60632,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7935877284084,-87.7060683050953,NA,NA
"1043583","Lake Shore Groceries","Lake Shore Groceries","900 N LAKE SHORE DR","CHICAGO",60611,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8992809909197,-87.6188945123018,NA,NA
"1043591","BARBAKAN RESTAURANT","BARBAKAN RESTAURANT","3143-3145 N CENTRAL AVE","CHICAGO",60634,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9380346831013,-87.7663320035548,NA,NA
"1043638","GAS & FOOD","CITGO","1549 W ROOSEVELT RD","CHICAGO",60608,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.8667522660649,-87.6658964869842,NA,NA
"1043848","Quick Stop Gas & Mini Mart","Quick Stop Gas & Mini Mart","7560 S COTTAGE GROVE AVE","CHICAGO",60619,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.7568458985063,-87.6054946369598,NA,NA
"1043848","Quick Stop Gas & Mini Mart","Quick Stop Gas & Mini Mart","7560 S COTTAGE GROVE AVE","CHICAGO",60619,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.7568458985063,-87.6054946369598,NA,NA
"1043966","PHO XE LUA","PHO XE LUA","1021 W ARGYLE ST","CHICAGO",60640,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9731890542881,-87.6558371206224,NA,NA
"1044031","GREEN TEA JAPANESE RESTAURANT","GREEN TEA JAPANESE RESTAURANT","2206 N CLARK ST","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9221460459151,-87.6385459540402,NA,-87.6773956
"1044092","LALO RESTAURANT","LALO'S RESTAURANT","4126 W 26TH ST","CHICAGO",60623,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8443147018827,-87.7281799189661,NA,NA
"1044156","ADMIRAL THEATRE","ADMIRAL THEATRE","3940 W LAWRENCE AVE","CHICAGO",60625,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.9683595431988,-87.7272665366083,NA,NA
"1044251","BURGER KING #11967","BURGER KING #11967","2401- 2407 W OGDEN AVE","CHICAGO",60608,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.864288,-87.686227
"10443","THE LEVEE LOUNGE","THE LEVEE LOUNGE","4035 W FULLERTON AVE","CHICAGO",60639,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.924173,-87.728193
"1044305","Kit Kat Lounge and Restaurant","Kit Kat Lounge and Restaurant","3700 N HALSTED ST","CHICAGO",60613,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9491473374298,-87.6496898387485,NA,NA
"1044370","7-Eleven","7-Eleven","10759 S EWING AVE","CHICAGO",60617,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.6991936006264,-87.5351347557681,NA,NA
"1044375","7-Eleven","7-Eleven","4631 N WESTERN AVE","CHICAGO",60625,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.9657916722175,-87.6886707653749,NA,NA
"1044389","FRANK'S BP SERVICE","FRANK'S BP SERVICE","2801 W ARMITAGE AVE","CHICAGO",60647,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9174797,-87.6972073
"1044412","BAR THIRTEEN","BAR THIRTEEN","1944 W DIVISION ST","CHICAGO",60622,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9035001,-87.6766194
"1044478","Off The Wall Wireless.Cafe, Inc.","Off The Wall Wireless.Cafe, Inc.","1904 W NORTH AVE","CHICAGO",60622,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9107098,-87.6753392
"1044650","Costco Wholesale # 380","Costco Wholesale # 380","2746 N CLYBOURN AVE","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9310210057978,-87.6768640181342,NA,NA
"1044682","YEE HEUNG SEAFOOD HOUSE","YEE HEUNG SEAFOOD HOUSE","225 W CERMAK RD","CHICAGO",60616,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.85272780039,-87.633038836846,NA,NA
"1044712","CHIPOTLE MEXICAN GRILL","CHIPOTLE MEXICAN GRILL","10 E JACKSON BLVD","CHICAGO",60604,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8783315485648,-87.6273238973586,NA,NA
"1044714","CHIPOTLE MEXICAN GRILL","CHIPOTLE MEXICAN GRILL","1166 N STATE ST","CHICAGO",60610,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9038356597319,-87.6288261074516,NA,NA
"1044724","CHIPOTLE MEXICAN GRILL","CHIPOTLE MEXICAN GRILL","291 E ONTARIO ST","CHICAGO",60611,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8932936765851,-87.6203928946912,NA,NA
"1044743","BONNE SANTE HEALTH FOODS INC.","BONNE SANTE HEALTH FOODS INC.","1512 E 53RD ST","CHICAGO",60615,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.7996579169884,-87.5885781422829,NA,-87.6773956
"1044746","SUSHI O SUSHI","SUSHI O SUSHI","346 W ARMITAGE AVE","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9184404328039,-87.6382582856454,NA,NA
"1044752","COCHIAROS PIZZA #2","COCHIAROS PIZZA #2","4741 W FULLERTON AVE","CHICAGO",60639,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9241406349769,-87.7455293386497,NA,NA
"1044796","CASEY MORAN","CASEY MORAN","3660-3662 N CLARK ST","CHICAGO",60613,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9487359665451,-87.6579228891337,NA,NA
"1044839","LIL GUYS & MY PIE TOO","LIL GUYS & MY PIE TOO","2010 N DAMEN AVE","CHICAGO",60647,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9181053424085,-87.6777805387856,NA,NA
"1044845","MONROE LOBBY SHOP INC","MONROE LOBBY SHOP INC","525 W MONROE ST","CHICAGO",60661,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.880244,-87.640501
"1044860","TAQUERIA LOS GALLOS INC","TAQUERIA LOS GALLOS","4209-4211 W 26TH ST","CHICAGO",60623,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8440695834106,-87.7298074736743,NA,NA
"1044901","FILLING STATION & CONVENIENCE STORE","FILLING STATION & CONVENIENCE STORE","6658 S WESTERN AVE","CHICAGO",60636,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.7720657091889,-87.6835932445913,NA,NA
"1044933","FRANCESCA'S BRYN MAWR","FRANCESCA'S BRYN MAWR","1039 W BRYN MAWR AVE","CHICAGO",60660,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9835712308422,-87.6567539303426,NA,-87.6773956
"1044967","ALL SEAYSONED","PEACOCK CAFE","454 N COLUMBUS DR","CHICAGO",60611,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8902376580889,-87.6204431429501,NA,NA
"1044988","ZAVALA'S GROCERY STORE INC","ZAVALA'S GROCERY STORE INC","2657 S KOLIN AVE","CHICAGO",60623,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8424234569744,-87.7328725676993,NA,NA
"1045099","INTERNATIONAL HOUSE OF PANCAKES","INTERNATIONAL HOUSE OF PANCAKES","2818 W DIVERSEY AVE","CHICAGO",60647,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9321992376927,-87.698510354468,NA,NA
"1045107","Heat","Heat","1507 N SEDGWICK ST","CHICAGO",60610,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.909541,-87.638199
"1045130","ASHTOWN STORE","ASHTOWN STORE","4560 N BROADWAY","CHICAGO",60640,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.964905,-87.6571518
"1045131","SARITAS MINI MART","SARITAS MINI MART","2454 S HAMLIN AVE","CHICAGO",60623,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.846383,-87.72008
"1045159","MIKOS","MIKOS ITALIAN ICE","3000 W LYNDALE ST","CHICAGO",60647,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.9224926699451,-87.7023587740689,NA,NA
"1045232","Dollar Junction","Dollar Junction","8721 S STONY ISLAND AVE","CHICAGO",60617,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.7362449,-87.584597
"1045268","LA CHAPPARITA GROCERY","LA CHAPPARITA GROCERY","2500 S WHIPPLE ST","CHICAGO",60623,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8462877524776,-87.7015619198992,NA,NA
"1045282","ANGELOS LUNCH BOX","ANGELOS LUNCH BOX","601-03 W ADAMS ST","Chicago",60661,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8792824,-87.642541
"1045301","BELLY Q","BELLY Q","160 N LOOMIS ST","CHICAGO",60607,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8839914295042,-87.6625251801994,NA,NA
"1045342","SUBWAY SANWICH SHOP","SUBWAY SANWICH SHOP","5710 W FULLERTON AVE","CHICAGO",60639,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9240441741835,-87.7689409788266,NA,NA
"1045365","GOLDEN HEART RESTAURANT","GOLDEN HEART RESTAURANT","4210 S ARCHER AVE","CHICAGO",60632,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8169352876571,-87.6998401387876,NA,NA
"1045381","SOUTH SHORE HOSPITAL","SOUTH SHORE HOSPITAL","8012 S CRANDON AVE","CHICAGO",60617,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7494506041794,-87.5687786244394,NA,NA
"1045468","MC DONALD'S","MC DONALD'S","6737 S PULASKI RD","CHICAGO",60629,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.7702902639118,-87.7224013240254,NA,NA
"1045545","THRIFTY FOOD","THRIFTY FOOD","928 W WILSON AVE","CHICAGO",60640,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.9655577007024,-87.6535592790212,NA,-87.6773956
"1045614","CAFETERIA MARIANAO","CAFETERIA MARIANAO","2246 N MILWAUKEE AVE","CHICAGO",60647,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.921614362232,-87.6954814291355,NA,NA
"1045634","ANGELO'S STUFFED PIZZA CORP","ANGELO'S STUFFED PIZZA CORP","4850 S PULASKI RD","CHICAGO",60632,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8045251122108,-87.7236336047379,NA,NA
"1045635","LA BAGUETTE","LA BAGUETTE","4163 S ARCHER AVE","CHICAGO",60632,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.817641,-87.697828
"1045684","EL QUIJOTE","EL QUIJOTE","4761 N CLARK ST","CHICAGO",60640,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9687706,-87.6673753
"1045757","GEMELOS FOOD/ CHECK CASHING SERVICES","GEMELOS FOOD/ CHECK CASHING SERVICES","4300 S MOZART ST","CHICAGO",60632,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.815354,-87.695995
"1045760","DIVERSEY RIVER BOWL LOUNGE","DIVERSEY RIVER BOWL LOUNGE","2211 W DIVERSEY PKWY","CHICAGO",60647,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",NA,NA,41.9322009,-87.6832733
"1045770","AUNTIE ANNIE'S PRETZELS","AUNTIE ANNIE'S PRETZELS","500 W MADISON ST","CHICAGO",60661,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8819943382051,-87.6397586848809,NA,NA
"10459","MONT CLARE LEYDEN VETERANS","MONT CLARE LEYDEN VETERANS","6940 W DIVERSEY AVE","CHICAGO",60707,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.931095,-87.799525
"1045965","KENTUCKY FRIED CHICKEN","KENTUCKY FRIED CHICKEN","6705 S HALSTED ST","CHICAGO",60621,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.772225,-87.644234
"1045968","KENTUCKY FRIED CHICKEN","KENTUCKY FRIED CHICKEN","1207 N CALIFORNIA AVE","CHICAGO",60622,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9032357,-87.6968599
"1045971","KENTUCKY FRIED CHICKEN","KENTUCKY FRIED CHICKEN","4701 N KEDZIE AVE","CHICAGO",60625,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.967004,-87.70807
"1045983","KENTUCKY FRIED CHICKEN","KENTUCKY FRIED CHICKEN","7350 S RACINE AVE","CHICAGO",60636,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.7600941,-87.6540168
"1045991","KENTUCKY FRIED CHICKEN","KENTUCKY FRIED CHICKEN","3808 W ROOSEVELT RD","CHICAGO",60624,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.866237,-87.7206196
"1046008","NEW RHODA'S GROCERY","NEW RHODA'S GROCERY","8901 S LOWE AVE","CHICAGO",60620,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.732451,-87.639517
"1046017","STARBUCKS COFFEE #2443","STARBUCKS COFFEE #2443","1588 N MILWAUKEE AVE","CHICAGO",60622,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",NA,NA,41.9103644,-87.6777479
"1046040-1006","DUNLAYS ON THE SQUARE","DUNLAYS ON THE SQUARE","3137-3139 W LOGAN BLVD","CHICAGO",60647,"Risk 1 (High)","Active","1006-FOOD RETAIL",NA,NA,41.9278361,-87.706449
"1046054","Chicago's Pizza","Chicago's Pizza","3114 N LINCOLN AVE","CHICAGO",60657,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9381915704451,-87.6668115645874,NA,NA
"1046092","THE GREEN DOOR","THE GREEN DOOR","678 N ORLEANS ST","CHICAGO",60654,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8947091562269,-87.6372715049327,NA,NA
